Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,10/09/09,09/19/09,"Escalera Maintenance Corporation, Las Vegas, NV 89123","The worker was assigned to perform irrigation maintenance work in an apartment complex. The worker was asked by a couple moving for help moving furniture. While moving a piece of furniture, the worker got on the truck, fell to the ground and hit his head. The worker was taken to the hospital where he died 14 days later."
FY 2010,10/09/09,09/25/09,"C & S Wholesale, Mauldin, SC 29607","The worker was operating a pallet jack, when entering an intersection drove into the stairwell."
FY 2010,10/09/09,09/30/09,"Mattress Discounters, Las Vegas, NV 89128",The worker was found behind the sales counter unconscious and unresponsive. The worker was pronounced dead at the scene by the coroner's office at 4:30pm.
FY 2010,10/09/09,10/01/09,"International Shipping Agency, Inc., San Juan, PR 00902",Worker was run over by an intermodal container.
FY 2010,10/09/09,10/01/09,"Odyssey Painting, McKees Rocks Bridge, Pier 16, McKees Rocks, PA 15136",Worker was sandblasting under a bridge and fell 124-feet from a two-point suspension scaffold.
FY 2010,10/09/09,10/01/09,"Price Gregory Construction, W. Monroe, LA 71292",Worker was inside the engine compartment of a backhoe changing the filters and was struck by the counter weight of another backhoe.
FY 2010,10/09/09,10/01/09,"Y O Ranch Partnership, Mountain Home, TX 78058",Worker was loading a wild barrsinghuas into a holding pen. The animal gored the decedent in the leg and back.
FY 2010,10/09/09,10/02/09,"Doherty Construction, Deerfield, IL 60015",Worker was putting in metal studs and was found on the scissor lift.
FY 2010,10/09/09,10/02/09,"Target, Lady Lake, FL 32159",Worker was found unresponsive in the employee restroom.
FY 2010,10/09/09,10/03/09,"Albuguerque Treatment Center, Albuquerque, NM 87121",The worker was in route to the Bernalillo County Detention Center to dispense medication to inmates and was struck by another car on the I-40 Frontage Road.
FY 2010,10/09/09,10/03/09,"T. A. Operating LLC dba Petro Lube Center, Jackson, MS 39201","Worker was assigned to check out a semi-trailer's front right air bag. While positioned between the two trailer axles, he was struck on the head by the left front air bag's base cup."
FY 2010,10/09/09,10/04/09,"Frontier Drilling, Salem, WV 26426",Worker was performing work on a gas drilling rig and was struck in the chest by a drill pipe.
FY 2010,10/09/09,10/05/09,"Butler, Fairman & Seufert, Inc.",The worker was measuring the roadway as part of the painting process when struck by a vehicle.
FY 2010,10/09/09,10/05/09,"Holts Mechanical, San Antonio, TX 78219",Worker was carrying tools to the other side of a metal corrugated roof and fell 25-feet through one of the skylights.
FY 2010,10/09/09,10/05/09,"Marine Fabrication and Repair, Houma, LA 70360","Worker was performing welding duties aboard a marine vessel. An electrode from his welding equipment contacted the sweat on his neck, causing an electric shock."
FY 2010,10/09/09,10/05/09,"McPherson Electric, Tallahassee, FL 32305",Worker was electrocuted.
FY 2010,10/09/09,10/06/09,"Ace Flooring, Inc., Mesa, AZ 85205","The worker was crushed under a 12-foot long, 3-inch diameter carpet roll."
FY 2010,10/09/09,10/06/09,"Daughtry Tree Service, Archer, FL 32501","Worker was trimming trees and was electrocuted, after the aerial lift contacted an overhead powerline, causing the bucket truck to become energized."
FY 2010,10/09/09,10/06/09,"Kroy Industries, Inc., Ulysses, KS 67880",Worker was operating a line 2 extrusion machine and was struck by a plug at the end of the line.
FY 2010,10/09/09,10/07/09,"Buckhorn, Inc., Springfield, MO 65803",Worker was cleaning the hardened plastic from the mold. He was standing in between the mold plates when the machine started and was crushed between the mold plates.
FY 2010,10/09/09,10/07/09,"Fox and Hound English Pub and Grille, Parma, OH 44129","Worker was cleaning a pizza oven and was found later, unresponsive in the break room."
FY 2010,10/09/09,10/07/09,"Golden Strip Transfer, Inc., North Charleston, SC 29408",Worker was locking down a shipping container to the bed of his truck and was struck by the rubber tire crane.
FY 2010,10/09/09,10/07/09,"Las Vegas Metropolitan Police Department, Las Vegas, NV 89101","The worker was traveling in a patrol vehicle when the patrol vehicle left the road, struck a stationary object and rolled over. The worker was taken to the hospital where he later died."
FY 2010,10/09/09,10/07/09,"Pages Creek Marine Services, Inc., Wilmington, NC 28411","The worker used a set of 2-ton underslung hoists to raise a boat on a trailer. The boat fell, crushing the worker between the boat and the left rear of the trailer."
FY 2010,10/09/09,10/07/09,"Werner Construction, Inc., Norfolk, NE 68701",Worker was washing flights on an auger of a concrete machine and was pulled into the flights of the auger.
FY 2010,10/09/09,10/08/09,"Wayne's Plumbing, Taylor, TX 76574","Worker was under a home doing plumbing work in a tunnel, dug under the concrete foundation using an electrical shovel type drill, and was electrocuted."
FY 2010,10/09/09,10/09/09,"Duckels Construciton Inc., Steamboat Springs, CO 80487",Worker was struck by a pipe cap in the back.
FY 2010,10/09/09,10/09/09,"Radley Electric, Sour Lake, TX 77659","Employees were splicing a de-energized downed oil field line. The oil field line got into a 7300-volt line, electrocuting one worker."
FY 2010,10/16/09,09/14/09,"Rio Hotel and Casino, Las Vegas, NV 89103","The worker complained of a headache and was transported to the hospital. The worker passed away from natural causes on September 24, 2009."
FY 2010,10/16/09,09/16/09,"Rocky Mountain Roofing Company, Albuquerque, NM 87114","The worker was installing metal coping at the roof edge when he lost his balance and fell tot he ground. The worker was hospitalized and died on October 9, 2009."
FY 2010,10/16/09,10/12/09,"Cliff's Auto Service Center, Springtown, TX 76082",Worker was changing a fluorescent overhead light and was electrocuted.
FY 2010,10/16/09,10/12/09,"Hill Construction Corp., San Juan, PR 00908",Worker fell 70-feet into a gap that was on the formwork while removing the excess plaster.
FY 2010,10/16/09,10/12/09,"Masonry Preservation Group, Inc., Philadelphia, PA 19103","Worker was in the cage of an aerial lift with the boom extended 95-feet when the lift tipped over, falling to the ground."
FY 2010,10/16/09,10/12/09,"Reilly Construction Co. Inc., Ossian, IA",The worker was replacing a pivot pin on the equalizer bar under a bulldozer. The bulldozer was supported with jack stands. The worker was under the bulldozer when it fell off the jack stands and crushed him.
FY 2010,10/16/09,10/13/09,"Lambert Roofing, Paisley, FL 32767",Worker was carrying tiles on residential roof. He backed up into an overhead power line and was electrocuted.
FY 2010,10/16/09,10/14/09,"Diamond Jacks Casino & Resort, Bossier City, LA 71111",Worker was investigating a water leak in a public stairwell between the 1st and 2nd decks. He opened a secured door leading to the exterior of the boat and fell through.
FY 2010,10/16/09,10/14/09,"Material Sciences Corporation, Elk Grove Village, IL 60007","Worker was wrapping an 18,000-lb steel coil while the coil was on an exit coil cart. The steel coil came off from the cart and fall on the worker."
FY 2010,10/16/09,10/14/09,"Morgan Keller, Inc., Union Bridge, MD 21791",Worker was crushed between a truck and a building.
FY 2010,10/16/09,10/15/09,"Stamer, Inc. dba Fulton Plumbing, Heating, Air, Atlanta, GA","Worker was working in an unprotected trench installing a sewer/water line. A portion of the trench caved in, fully engulfing the worker and trapping another employee, who was hospitalized."
FY 2010,10/16/09,10/15/09,"Terra Engineering, Ltd., Peoria, IL 61604",Worker was in the process of installing traffic counts and was hit by a motor vehicle.
FY 2010,10/16/09,10/16/09,"Borggard Construction Corporation, Northboro, MA 01532",Worker was working on a skid steer machine and was pinned between the arms of the machine and the machine frame.
FY 2010,10/16/09,10/16/09,"Fellow Roofing, Ltd., Broadview, IL 60155",Worker was performing roofing work on a low slope roof and fell through an unprotected skylight.
FY 2010,10/16/09,09/06/10,"Village of Tarrytown Tarrytown, NY  10591",Two workers were killed from a possible fall and/or oxygen deficiency while entering a permit-required confined space manhole.
FY 2010,10/16/09,10/11/10,"Rose Hill Conference Center Nashville, NC  27856",Worker was operating a small tractor that overturned and pinned him underneath.
FY 2010,10/16/09,10/13/10,"BAE Systems, York, PA 17408",Worker was operating an aerial lift and got caught between the lift and an overhead door's overhang.
FY 2010,10/16/09,10/15/10,"Willoway Nurseries Inc., Huron, OH  44839",Worker was operating his personal vehicle at a railroad crossing and was struck by a train.
FY 2010,10/16/09,10/16/10,"(Company name not determined) Long Beach, CA 90603",Fisherman was electrocuted on a boat at sea as he was changing a capacitor in a breaker box.  (U.S. Coast Guard is investigating.)
FY 2010,10/16/09,10/17/10,"Haberle Steel Inc., Souderton, PA  18964",Worker was crushed by a section of steel plate.
FY 2010,10/16/09,10/18/10,"ArcelorMittal, Vinton, TX  79835",Worker was lighting up a gas furnace.  An explosion occurred and the worker was struck on the head by falling debris.
FY 2010,10/16/09,10/19/10,"Bush & Burchett, Inc., Catlettsburg, KY 41129","Worker was measuring a grade for the bridge brackets, outside the life-line system, on the I-64 bridge when he fell approximately 30 feet to the ground below.  He was wearing a fall protection harness, but was not tied off."
FY 2010,10/16/09,10/20/10,"Federouch Landscape Supply, Carnegie, PA 15106",Worker without fall protection was replacing sections of a roof.  He fell through a 40-inch opening in the roof and down 31 feet to the ground.
FY 2010,10/16/09,10/20/10,"Roy Case Construction, Mountain Pine, AR 71956",Worker was operating crane when crane tipped.  Worker fell and was crushed between crane cab and a wall.
FY 2010,10/16/09,10/21/10,"Qualico Steel Company, Inc. , Webb, AL 36376","While changing and wiring two heaters, worker turned on electricity to check wiring.  He forgot to turn off the electricity and was electrocuted by 480 volts upon contact."
FY 2010,10/16/09,10/21/10,"Wright Brothers Construction Company,Inc., Charleston, TN 37304","Worker lost control of an articulating dump truck at a landfill.  The truck flipped over, pinning the operator under the motor compartment."
FY 2010,10/16/09,10/22/10,"Alliance Electric LLC, Harpers Ferry, WV 25425","Worker was holding end of the hose while pouring concrete from pump truck.  Truck's boom contacted overhead line, electrocuting worker."
FY 2010,10/16/09,10/22/10,"Grayco Construction Co. of TN, LLC, Conway, AR 72032","Worker had parked a water tank truck on an incline.  While filling the truck's tank, the truck rolled down the incline and over the worker."
FY 2010,10/16/09,10/23/10,"TKH Northeast, Inc., Hornell, NY 14843",Worker was operating an earth roller that tipped and crushed him.
FY 2010,10/16/09,10/23/10,"Universal Plumbing, Augusta, GA 30904",While worker was uncovering a sewer pipe with a shovel in a trench approximately 6 feet deep when the trench collapsed.
FY 2010,10/23/09,07/21/09,"Marino Construction, San Juan, PR 00918","Two workers were plastering walls at an elevated height of 150-feet, a mast scaffold was used as a working platform. The scaffold platform became loose and fell to the ground, killing the two workers."
FY 2010,10/23/09,09/27/09,"Flat Top Ranch LLC, 2521 Fishhook Park Road, Prescott, WA 99348","The worker was attempting to hook up a tractor grader to a semi that lost traction while ascending a hill. The grader was parked in front of the semi. The grader lost brakes, rolled back crushing the worker between the grader and the semi truck."
FY 2010,10/23/09,10/02/09,"Oakwood Apts., Lake Jackson, TX 77566","Worker was doing repairs on the roof of apartments using a 24-foot aluminum extension ladder. He descended from the ladder, stepping on the first step and fell 20-22 feet."
FY 2010,10/23/09,10/07/09,"All About Care Heating & Air Conditioning, Winston Salem, NC 27107","The worker was working on the roof on a home when the worker fell through a hole in the roof and hit his head against the concrete floor of the basement. He was transported to the hospital where he was pronounced dead on October 9, 2009."
FY 2010,10/23/09,10/08/09,"AAA Seattle Best Autobody Inc., Seattle, WA 98133",The worker was removing a bumper from a wrecked SUV. The worker jacked up the rear of the SUV and was underneath removing the bumper when the jack collapsed pinning the worker.
FY 2010,10/23/09,10/08/09,"Town of Plainfield Polic Department, Plainfield, CT 06374",The worker collapsed while responding to an aggressive dog call at a resident's address. The worker died 9 days later in the hospital.
FY 2010,10/23/09,10/14/09,"Maderera Donestevez Inc., Carolina, PR 00979",The worker was working on dispatching merchandise and was pinned against the merchandise by the fork lift being driven by another employee.
FY 2010,10/23/09,10/15/09,"Color Corporation of America, Louisville, KY 40210",The worker collapsed while filling production barrels. The worker was transported to the hospital where he later died.
FY 2010,10/23/09,10/16/09,"JSJ Tile & Stone, Inc., Bradenton, FL 34209",Worker was struck by a pick-up truck that was backing up from a warehouse.
FY 2010,10/23/09,10/16/09,"Souter Construction, Menifee, AR 72107",Worker fell off a boarding ramp to a docked tug and drowned.
FY 2010,10/23/09,10/16/09,"Tri-County Trucking & Excavating, Hermann, MO 65041",Worker was unloading a D76 Dozer and was trapped by the dozer.
FY 2010,10/23/09,10/17/09,"Steve Bolin Logging, Hamburg, AR 71646",Worker was waiting in line to be loaded out at a mill. He had exited his truck to check on something on the trailer in front of him. While doing so the truck pull forward. The trailer tires struck and traveled over the worker.
FY 2010,10/23/09,10/17/09,"Wong Potatoes Inc., Merrill, OR 97603",The worker was run over by a trailer while harvesting onions.
FY 2010,10/23/09,10/18/09,"American Packaging Corp., Columbus, WI 53925",Worker was using a hand-held grinder on floor bolts when sparks ignited flammable vapors in the area.
FY 2010,10/23/09,10/18/09,"E & C Construction Oc., Newark, NJ 07104",Worker fell 30-feet from a roof to the ground.
FY 2010,10/23/09,10/18/09,"Mark-It Stripping Corp., Berywn, IL 60402",Worker was marking a roadway for striping operations and was struck by an automobile.
FY 2010,10/23/09,10/18/09,"Marlette Homes, Inc., Ledyard, CT 06339","Worker was installing trimming and fell, hitting his head against the kitchen island."
FY 2010,10/23/09,10/19/09,"Unknown, Broomfield, CO 80023",Worker was doing construction operations and was struck by a road grader.
FY 2010,10/23/09,10/20/09,"Dobson Brothers Construction Company, Lincoln, NE 68501","During the interface between an asphalt paving machine and the asphalt truck, the rear tire of the truck exploded. The worker was struck be the exploding tire debris and release of pressure."
FY 2010,10/23/09,10/20/09,"Hunter Maintenance & Leasing, Inc., Chicago, IL 60609","Worker was replacing a hydraulic cylinder which raised the hopper of a street sweeping vehicle. The decedent had raised the hopper and was working within the framework, when the hopper dropped, crushing the worker between the hopper and the framework."
FY 2010,10/23/09,10/20/09,"Sutherland Builders Inc., Penn Yan, NY 14527",Worker was struck/crushed by walls and roof of a building after a dump truck fell onto the building.
FY 2010,10/23/09,10/21/09,"Ace Roofing, Carbondale, CO 81623",Worker was working in the attic space of a residential home securing a ventilation line and fell through the attic floor.
FY 2010,10/23/09,10/21/09,"Harris Rathole Service, Midland, TX 79701",Worker was holding the lid of a derrick truck while the derrick was being raised. The derrick contacted overhead power transmission lines and the worker was electrocuted.
FY 2010,10/23/09,10/22/09,"Johnson Western Gunite Company, Kermit, WV 25674",Worker was operating an excavator and was crushed after the wall collapsed on the excavator.
FY 2010,10/23/09,10/22/09,"P & B Partitions, Inc., Verona, PA 15147","Worker was in the process of moving a scissor lift using a lull to move it from floor to floor. Worker entered the scissor lift to drive it off the forks, a portion of the concrete plank landed on the worker, who was in the scissor lift."
FY 2010,10/23/09,10/23/09,"Brug Electric, Golden, CO 80401","Worker was working on a light fixture from a ladder 15-feet above the ground and fell, possible shock."
FY 2010,10/23/09,10/23/09,"David Gooding Inc., Brockton, MA 02302",Worker was sruck by an object that fell from a shelving rack.
FY 2010,10/23/09,10/23/09,"TD & I Cable Maintenance, Lakeland, MN 55043","The worker was pulling cables or cutting cables and hit a 13,000 line and was electrocuted."
FY 2010,10/30/09,10/22/09,"Downey's Contracting LLC, Lexington, KY 40510",The worker was descending a ladder when suddenly he collapsed to the ground. CPR was administered but the worker's heart did not respond. The coroner ruled out the fall as a cause of death.
FY 2010,10/30/09,10/24/09,"Corrosion Control Specialist, Pascagoula, MS 39581",Worker was dismantling a 40-foot high scaffold and fell.
FY 2010,10/30/09,10/25/09,"CRI, Shawano, WI 55992 (Accident - Zumbrota Minnesota)","Worker was unloading bulls from a truck into the chute. One bull kicked the gate, knocking the worker over, hitting his head on the concrete. There was traumatic head injury with brain swelling."
FY 2010,10/30/09,10/25/09,"Gulf Stream Marine Inc., Brownsville, TX 78526",Worker was unloading a vessel and was struck by a loose spinning cargo sling chain.
FY 2010,10/30/09,10/26/09,"Insituform Technologies, Inc., West Hartford, CT 06107",Worker was crossing a street to get to a work zone and was struck by a motor vehicle.
FY 2010,10/30/09,10/26/09,"Val-O-Mo Farm, Inc., Elmwood, WI 54740","Worker was operating a skid-steer cleaning out a dairy cattle barn near an outdoor manure slurry pit. The skid-steer and the worker fell off the end of the push-off platform into the manure slurry pit, trapping the worker in the vehicle. Worker died of suffocation due to inhalation of manure."
FY 2010,10/30/09,10/27/09,"Hardin Memorial Hospital, Elizabethtown, KY 42701",The worker had shortness of breath upon arriving at work. The worker was taken to the ER and went into cardiac arrest and died. The cause of death was cardiac arrest or pulmonary embolism.
FY 2010,10/30/09,10/27/09,"J & M Trucking, Ely, NV 89301","The worker was driving to Duckwater. The left front tire on the concrete blew out, which caused the truck to flip killing the worker."
FY 2010,10/30/09,10/29/09,"Ceres-Midland, Fairmount, IN 46928",The worker was trapped in a large auger attached to a grain silo.
FY 2010,10/30/09,10/29/09,"Pike Electric, Inc., Mount Airy, NC 28719",The worker was performing maintenance on a power line when he was electrocuted.
FY 2010,11/06/09,10/22/09,"Linde Material Handling North America Corporation, Summerville, SC 29483",A forklift mast fell on the worker.
FY 2010,11/06/09,10/25/09,"A-Core Concrete Cutting Inc., Salt Lake City, UT 84111","The worker completed jack hammering a small section of concrete when a vehicle on the freeway went through the work site barricades, struck the worker, dragging him before striking a concrete barrier. The driver fled the scene killing the worker."
FY 2010,11/06/09,10/26/09,"Cemeterio Mayaguez Memorial, Inc., Mayaguez PR 00681","The worker was moving and cutting marble and granite covers. While the worker was working on one cover, it fell on the worker killing him and injuring another employee and the owner."
FY 2010,11/06/09,10/28/09,"Insulation Maintenance & Contracting, LLC, North Las Vegas NV 89030","The worker was insulating pipes from a scissor lift, when co-workers noticed the worker collapsed and unresponsive. The worker was transported to the hospital where he was pronounced dead."
FY 2010,11/06/09,10/28/09,"Twin City Fan Companies, Ltd., Pulaski, TN 38478 (Accident NC)",The worker was working in a confined space fixing the motor to a fan. At 4:30 the worker collapsed while inside the confined space. Worker was taken to the hospital where the doctors say the brain activity has deteriorated and will probably not come back around. Worker is not deceased at this time.
FY 2010,11/06/09,10/29/09,"D&M Construction, Chandler, IN 47610","Worker was working alone replacing gutters, louver and other work prior to painting. The worker fell from a step ladder onto flat roof. The worker did not seek any medical attention at the time. The worker was found unresponsive that same night."
FY 2010,11/06/09,10/29/09,"Twiggs & Twiggs, Monck Corner, SC 29461",The worker was cutting the limbs of a felled tree. A tree being cut struck the worker.
FY 2010,11/06/09,10/30/09,"Cooper Plastering, Inc., Bullard, TX 75757",Worker was working from a mechanical mezzanine and fell 14-feet through a hole in the floor to the lower level.
FY 2010,11/06/09,10/30/09,"Myers Contracting Company, New Carrollton, MD",The worker fell of of roof.
FY 2010,11/06/09,10/30/09,"Seattle Police Department, Seattle, WA 98124","The worker was shot multiple times in the head, neck and shoulder."
FY 2010,11/06/09,10/30/09,"United Parcel Service, Inc., Lousville KY 40213",While on lunch the worker suffered an asthma attack. The worker was taken to the hospital but did not survive.
FY 2010,11/06/09,10/31/09,"Crowley-Sheppard Asphalt Co. Inc., Chicago Ridge, IL 60415",Worker was flagging traffic in a road construction zone and was struck by a truck.
FY 2010,11/06/09,10/31/09,"Roth Painting, LLC, Bellaire, OH 43906",Worker was walking down steps from a utility room when he slipped or tripped.
FY 2010,11/06/09,11/02/09,"BS Truckline, Inc., 4080 East Lake Mead Blvd., Las Vegas, NV 89115","The worker was travelling on a highway and his vehicle swerved off the highway, went airborne and hit an embankment causing the worker to sustain fatal injuries."
FY 2010,11/06/09,11/02/09,"KBK Industries, LLC, Pfeifer, KS 67660",Worker was delivering a fiberglass tank. He was retracting the knuckle boom on the crane back to travel position. The boom contracted a power line. Worker suffered injuries from electric shock.
FY 2010,11/06/09,11/02/09,"McCabe Tree Service, Harwich, MA 02645","Worker was on an aluminum extension ladder that had been extended 30-feet cutting limbs from a tree, lost his balance and fell."
FY 2010,11/06/09,11/02/09,"Owensby & Kritkos, Inc., St. James, LA 70086","Worker was working from scaffolding platform, while setting a ladder, lost his balance and fell through a 1-foot opening between the work platform and guardrail systems, 30-feet to the ground level."
FY 2010,11/06/09,11/02/09,"Plaquemine Point Shipyard, Sunshine, LA 70780",Worker was performing maintenance on a tank area within the dry docked barge and upon exiting the area complained of experiencing breathing difficulties.
FY 2010,11/06/09,11/02/09,"Renaissance on Peachtree, Atlanta, GA 30319",Worker was using a ladder to change a light bulb and fell from the ladder to the ground.
FY 2010,11/06/09,11/03/09,"CHS Inc., Inver Grove Heights, MN 55077","After unloading truck, worker went to next bay and struck a few vehicles and the building across from the delivery site."
FY 2010,11/06/09,11/03/09,"US Aqua Vac, Inc., Deerfield, IL 60015",Worker was diving under water cleaning a pond and drowned.
FY 2010,11/06/09,11/03/09,"WL Construction, Inc., Western Springs, IL 60558",Worker was placing a stepladder over a stairwell to retrieve wood from a job built scaffold. Worker was standing on the ladder when the ladder shifted and fell 14-feet into the concrete stairwell.
FY 2010,11/06/09,11/04/09,"MJM Carpentry, Unionville, CT 06085",Worker was setting steel beam in house foundation and making adjustments to level the beam. The beam dislodged from its support and fell onto the worker.
FY 2010,11/06/09,11/04/09,"Penns Woods Tree Company, Allentown, PA 18109","Workers were removing a tree by cutting the trunk into sections from an aerial bucket truck. The log was dropped 15 to 20-feet from the bucket, the worker operating the chipper had not cleared below and the log struck him on the head."
FY 2010,11/06/09,11/05/09,"IHP Industrial, Inc., St. Joseph, MO 64503",Worker was found on top of an air conditioning unit on a roof.
FY 2010,11/06/09,11/05/09,"International Tank Co., Lima, OH 45804",Worker fell 50-feet out of an Aerial Work Platform.
FY 2010,11/06/09,11/05/09,"VNM Erector, Inc., Miami, FL 33126",Worker was performing roadway repair and was struck by a vehicle.
FY 2010,11/13/09,10/29/09,"William E. Lewis Logging, Inc., Greenville, NC 27834",Worker was struck in the head by the top of a dead tree that was falling.
FY 2010,11/13/09,10/30/09,"Greenman-Pedersen Inc., Edison, NJ 08837",Worker was crushed by steam roller.
FY 2010,11/13/09,11/02/09,"Randy Wagers dba R & B Roofing, Hyden, KY 47162",The worker fell from the scaffold after being electrocuted. The worker died at the hospital while receiving treatment.
FY 2010,11/13/09,11/03/09,"Wal-mart Store #58, Russellville, AR 72802","Worker was in the process of removing a box that contained a bicycle from a storage rack. He was standing on the second or third step of a step ladder. The box fell forward and he fell from the ladder, striking his head on the floor."
FY 2010,11/13/09,11/04/09,"K&W Aviation, La Porte, TX 77571","Worker was riding on a golf cart, stood up and fell, hitting his head."
FY 2010,11/13/09,11/06/09,"LAI Construction Services, Frederick, MD 21701",Worker was backed over by bucket truck.
FY 2010,11/13/09,11/06/09,"New Castle Hauling LLC, Foster, KY 41043",The worker was operating a skidder during a logging operation when the skidder turned over. There were no witnesses. The worker was pinned under the skidder. Emergency services arrived and was pronounced dead.
FY 2010,11/13/09,11/07/09,"Roger Schartz & Sons, Inc., Rose Creek, MN 55970",Worker fell from top of truck and later died 11/8/2009.
FY 2010,11/13/09,11/08/09,"Combe Laboratories, Inc., Rantoul, IL 61866","Worker was looking up at a box performing work activities and passed out, hitting his head."
FY 2010,11/13/09,11/09/09,"LU Incorporated, Clinton, TN",Two workers were checking tensioning on cables for a cable guardrail along the intestate when a pick-up truck pulling a trailer lost control and crossed the median striking both workers.
FY 2010,11/13/09,11/09/09,"Wal-mart Supercenter, Las Vegas, NV 89123",The worker collapsed in the dairy areas and was found unconscious and unresponsive by an employee. The worker was transported to the hospital where he was pronounced dead from an apparent heart attack.
FY 2010,11/13/09,11/10/09,"Midwest Steel, Inc., Kansas CIty, MO 64108",Worker was elevated in an aerial lift that collapsed.
FY 2010,11/13/09,11/11/09,"Egenolf dba Horner Industrial Services, Indianapolis, IN 46225",Worker was working alone and found by other employees having either fallen into or been inadvertently crushed by a moving part on a piece of equipment.
FY 2010,11/13/09,11/11/09,"Quail, Inc., Springfield, IL 62703","Worker was removing a tarp from his pickup truck and was struck by a wheel end loader, crushing him."
FY 2010,11/13/09,11/12/09,"Garden City Coop, Inc., Dighton, KS 67839",Worker was performing duty in a grain bin and was engulfed by grain.
FY 2010,11/13/09,11/12/09,"Guardian Fiberglass Inc., Inwood, WV 25428",Worker was found caught up in a roll up machine that tolls up fiberglass insulation.
FY 2010,11/13/09,11/13/09,"O&G Industries, Inc., Hamden, CT 06518",Worker was engaged in work activities including rough terrain forklift operations and construction work and was walking up an incline away from the Lull carrying a screw gun box and was struck by the right rear tire of the Lull.
FY 2010,11/13/09,11/14/09,"Lopez Landscaping, San Antonio, TX 78266",Worker was deep in a trench wrapping fence wire around the roots of an oak tree being transplanted. The wire broke and he was caught in a cave-in.
FY 2010,11/13/09,11/14/09,"Miguel & Ulises Navarro, Suwanee, GA 30024","Worker was re-roofing a home and while walking on the ridge of the roof, he slipped, falling to the deck below."
